ID,Industry code,Job title,ISCO-08 - Major,ISCO-08 - Minor,Years of experience,"Digital technology is an umbrella term for mobile, internet and computer-based products and solutions",Digital technology reduces the amount of time required to perform an action,Digital technology is about transferring data from one electronic device to the other,Digital Technology is everything electronic,Digital technology enables knowledge sharing across organisations.,Accounting/ financial management,"Make Bookings (Travel bookings, scheduling meetings, venue booking etc.)",Emailing,Making audio or video calls,Marketing,Printing and scanning,Designing,"Monitoring  (e.g. employees, production, security etc)",Research and development,Training,Filing,US12OTHERS,"The ability to manage and monitor my team, activities, projects etc., whilst not being physically presen",Improved communication tools,Ability to enhance the capacity to perform my job,Ability to do different tasks at once (Multi-tasking),Limited usage of paper (Paperless processes),Less time needed to perform my duties (Time-efficiency),Reduced workload,Improved safety of data,Easy access to content,Stock counting,Cost saving,Improved Customer interactions,Digital technology involves higher costs,"The instability of digital systems (systems going down, load shedding etc.)",Lack of human interactions,The threat of possible retrenchment,Adjusting to and learning new digital technology,Lack of required digital skills,Digital fraud and scamming,Lack of digital upgrade,Lack of required devices,Unavailability of data,"Management (CEOs, Directors, Managers, Supervisors etc.)",IT Department,Communication Department/ Marketing Department,Project coordinators,External stakeholders,Fellow colleagues,No-one,No idea,System Auditor,State-of-the art printers and scanners. Needed,Business WhatsApp. Needed,Hi-tech telephone. Needed,Faster computers and tablets. Needed,Digital filing. Needed,Mobile Applications.Needed,Block chain technology. Needed,Reliable internet. Needed,Smart boards. Needed,Software and web applications. Needed,Automated equipment. Needed,Voice over Internet protocol (VOIP). Needed,Video conferencing applications. Needed,Artificial intelligence. Needed,Faster Wi-Fi connection,Ultra-modern equipment (Upgrade current digital equipment/s),Artificial Intelligence,Internet of Things (IoT),Robots,Scanners,Tracking systems,Voice over internet protocol,No idea 2,"Ability to quickly learn new software (MS packages, accounting packages, designing packages etc.)",Computer literacy,Machine learning,Digital marketing,Artificial Intelligence 2,Developing a Website,The ability to use and understand digital media,My knowledge of digital technologies boosts my confidence,The digital skills that I have acquired open doors to more job opportunities,The usage of digital technologies makes me more knowledgeable,"With the usage of digital technology, I am now able to innovate at work",How much value does the knowledge of digital technology add to your qualification?,High school,In-house training,Peer-learning,Self-taught,Short courses,Tertiary education,Previous work experience,External training/workshops,I have No digital skills.,My organisation supports digital technology usage through accredited training (officially recognized or authorized),Digital technology is promoted through inhouse training in my organisation,My organisation does not have a support system to enhance digital skills,My organisation encourages self-development of staff when it comes to digital technology,Digital skills in my organisation are promoted through external training (trainings conducted outside the organisation),My organisation encourages the staff to acquire digital skills through online training,The use of digital technology exposes to potential financial loss.,The probability of data loss is higher when using digital technology,The possibility of getting scammed and robbed is higher when using digital technology,"Compared to traditional tools such as pen and paper, using digital technology creates more doubts",It takes too much time to learn how to use new digital technology than using traditional tools.,Digital technology is likely to cause me to lose control over the privacy of my personal data,The usage of digital technologies in the workplace is a waste of time,I am NOT interested in using digital skills in my workplace,I don’t see any additional value in using digital technology,The usage of digital technology is too complicated for me,"I can still use my traditional tools, there is no real need for digital technologies",Digital technologies limit my capacity as a human because everything is provided by machines,What is your gender?,What is your year of birth?,What is your highest education level (Only indicate the highest)?,Which racial group do you belong to?,How long have you been in the organisation?,Approximately how many employees work in your organisation?,AGE,understanding
9,Q,CLO Computer Liason Offer,Technicians and associate professionals,Information and communications technicians,19,1,1,1,-1,1,5,5,5,5,5,5,5,5,5,3,3,#NULL!,1,1,3,1,4,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,5,7,5,10,10,6,#NULL!,#NULL!,#NULL!,0,1,0,0,0,0,0,0,1,1,0,0,2,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,4,3,5,2,3,1,1,1,1,1,0,1,1,0,2,3,3,3,3,3,3,3,3,3,5,3,3,3,2,3,2,3,1,1981,3,3,5,70,38,3.00
10,Q,Ward Clerk,Clerical support workers,Other clerical support workers,10,1,1,1,-1,1,4,5,5,5,5,5,2,5,4,5,4,#NULL!,8,10,10,10,10,8,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,8,10,10,10,10,10,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,4,5,4,4,0,0,1,0,1,0,0,0,0,4,4,1,5,3,5,2,4,3,4,2,2,1,1,1,1,1,1,1,1987,3,1,5,250,32,3.00
11,Q,Social Auxiliary Worker,Service and sales workers,Personal service workers,9,1,1,1,-1,1,6,3,5,3,3,4,6,6,6,3,3,#NULL!,4,2,5,1,5,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,5,9,8,5,5,#NULL!,#NULL!,#NULL!,1,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,3,3,2,0,0,1,1,0,0,0,0,0,2,2,2,4,2,2,3,3,3,4,4,3,2,2,2,2,2,2,2,1957,3,1,11,12,62,3.00
12,Q,Social Worker,Professionals,"Legal, social and cultural professionals",4,1,1,1,0,1,6,1,5,6,6,5,6,1,4,1,5,#NULL!,1,10,9,5,1,8,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,5,1,1,1,1,10,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,5,5,5,5,4,0,0,1,1,0,1,0,0,0,2,4,4,4,2,2,4,4,4,2,2,2,2,2,2,2,2,4,2,1986,5,1,4,180,33,4.00
13,Q,Administrator,Clerical support workers,Other clerical support workers,6,1,1,1,-1,1,4,5,5,5,3,5,5,3,6,3,3,#NULL!,5,10,8,8,5,10,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,10,10,2,10,6,1,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,5,5,5,5,4,0,0,0,1,1,1,0,0,0,2,2,4,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1987,4,1,6,13,32,3.00
78,Q,Care worker,Service and sales workers,Personal service workers,2,1,1,-1,-1,1,4,5,5,5,5,5,5,4,4,4,4,#NULL!,5,5,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,6,6,5,3,4,4,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,5,5,5,5,4,1,1,1,1,1,0,1,0,0,4,4,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1996,3,1,2,130,23,1.00
152,Q,Debtors Clerk,Clerical support workers,Numerical and material recording clerks,5.0,1,1,1,-1,1,5,3,5,2,1,5,1,1,3,2,5,#NULL!,7,9,10,10,8,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,8,10,8,9,8,9,#NULL!,#NULL!,#NULL!,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,2,1,1,1,2,1,1,2,2,1,1,2,1,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,5,5,4,5,4,#NULL!,1,#NULL!,1,1,1,#NULL!,#NULL!,#NULL!,4,5,5,4,4,5,2,3,5,4,4,3,4,5,4,4,5,4,1,1970,4,4,5,350,49,3.00
157,Q,HR Clerk,Clerical support workers,Other clerical support workers,11.0,1,1,1,-1,1,4,5,5,5,4,4,4,5,5,4,4,#NULL!,10,10,10,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,10,10,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!,1,1,#NULL!,1,1,1,#NULL!,1,1,1,1,#NULL!,1,#NULL!,5,5,5,5,4,#NULL!,#NULL!,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,5,5,5,2,1978,4,4,1,250,41,3.00
159,Q,Admin Clerk,Clerical support workers,Other clerical support workers,3.0,1,1,1,-1,1,2,2,5,3,2,5,5,5,5,3,5,#NULL!,10,8,8,7,6,7,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,5,7,8,9,8,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,2,2,1,1,1,1,0,1,2,1,2,1,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,5,5,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,1,1,1,1,1,2,2,2,1,4,1,1,1,1,1,1,2,1986,3,1,3,6,33,3.00
163,Q,Receptionist,Clerical support workers,Customer services clerks,9.0,1,1,1,0,1,2,2,5,2,2,5,2,2,2,2,5,#NULL!,7,7,7,10,6,8,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,7,5,1,8,3,2,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,1,2,2,2,2,2,1,2,2,1,1,0,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,5,5,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,2,2,2,4,4,1,4,3,4,2,3,1,1,1,1,2,2,2,1988,3,1,9,8,31,4.00
182,Q,Credit Control,Clerical support workers,Numerical and material recording clerks,8.0,1,1,1,-1,1,5,2,5,5,5,5,5,5,4,5,5,#NULL!,10,10,9,8,9,9,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,9,10,10,9,9,9,#NULL!,#NULL!,#NULL!,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,1,1,1,1,1,1,0,1,1,1,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,5,3,5,5,4,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,2,2,2,3,1,1,2,2,2,2,1,1,2,1,3,3,2,1982,4,3,8,200,37,3.00
187,Q,Receptionist,Clerical support workers,Customer services clerks,5.0,1,1,1,-1,1,4,5,5,5,5,4,5,5,5,5,4,#NULL!,6,10,10,6,10,6,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,1,1,5,10,5,5,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,2,1,1,1,0,1,2,2,2,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,3,3,5,4,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,3,4,4,4,2,2,4,4,2,1,2,1,1,1,2,2,2,2,1989,3,1,5,4,30,3.00
190,Q,Basic Ambulance Assistance,Technicians and associate professionals,Health associate professionals,3.0,1,1,1,-1,1,4,4,4,4,5,5,5,5,5,5,5,#NULL!,10,10,9,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,3,3,10,5,3,8,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,#NULL!,1,#NULL!,#NULL!,1,1,1,1,5,5,5,4,4,#NULL!,1,1,1,#NULL!,1,#NULL!,#NULL!,#NULL!,4,5,2,4,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,1988,4,1,3,200,31,3.00
199,Q,Admin assistant,Clerical support workers,General and keyboard clerks,13.0,1,1,1,-1,1,5,5,5,5,5,5,5,5,5,5,2,#NULL!,8,8,9,10,9,9,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,10,10,10,9,9,10,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,#NULL!,1,#NULL!,1,#NULL!,4,4,4,4,4,1,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,1987,3,4,9,2,32,3.00
14,R,Assistance Exhibition Curator,Technicians and associate professionals,Assistance Exhibition Curator,6,1,1,1,0,1,6,4,5,3,6,5,2,4,5,4,5,#NULL!,10,10,10,10,4,10,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,10,2,1,10,4,1,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,5,5,5,5,4,1,1,1,1,1,1,1,1,0,5,5,2,5,5,3,2,5,3,3,1,2,1,1,1,1,1,3,1,1985,5,1,0.5,35,34,4.00
15,R,Operator,Other,Operator,5,1,1,1,0,1,6,4,5,2,6,5,2,4,4,4,3,#NULL!,2,2,2,3,5,5,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,10,10,2,2,2,10,#NULL!,#NULL!,#NULL!,1,0,0,1,0,0,0,0,0,1,2,1,2,1,1,2,2,2,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,4,4,4,4,4,0,0,0,0,0,1,1,1,0,4,4,4,4,4,4,3,4,5,2,4,4,2,2,2,2,2,4,1,1974,5,1,4,35,45,4.00
16,R,Receptionist,Clerical support workers,Customer services clerks,2,1,1,1,0,1,5,3,5,4,5,5,6,3,6,3,2,#NULL!,1,10,10,5,9,8,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,9,6,9,4,8,1,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,2,2,1,2,1,0,2,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,4,2,4,5,4,1,1,0,1,0,1,0,0,0,2,4,2,3,2,2,2,3,4,4,2,3,2,2,2,2,3,4,1,1994,5,1,4,18,25,4.00
17,R,IT Helpdesk Administrator,Technicians and associate professionals,Information and communications technicians,10,1,1,-1,-1,1,5,5,5,4,5,5,3,5,5,4,3,#NULL!,7,10,10,9,5,7,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,8,5,1,6,7,5,#NULL!,#NULL!,#NULL!,1,1,1,0,0,0,0,0,0,1,1,2,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,5,5,5,5,4,1,1,1,0,0,0,0,0,0,5,5,2,4,5,3,5,5,5,4,4,4,1,1,1,1,1,1,2,1983,4,1,1.5,40,36,1.00
18,R,Marketing and Communicaton Assistance,Technicians and associate professionals,Business and administration associate professionals,4,1,1,-1,0,1,4,4,5,5,4,5,5,3,4,3,3,#NULL!,9,10,9,9,8,5,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,7,8,8,9,10,5,#NULL!,#NULL!,#NULL!,1,1,1,0,0,0,0,0,0,1,1,2,1,1,1,0,2,1,2,2,1,2,2,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,4,3,4,3,3,1,0,0,0,0,1,0,0,0,3,2,3,4,3,3,3,3,3,2,3,2,3,3,4,4,3,3,2,1991,5,1,8,39,28,2.00
19,R,Administrator,Clerical support workers,Other clerical support workers,7,1,1,1,-1,1,5,5,5,5,5,5,5,4,5,5,5,#NULL!,8,8,8,7,9,8,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,8,4,9,4,5,10,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,4,4,4,4,3,0,1,0,1,0,0,1,0,0,4,4,4,4,4,1,2,5,4,2,2,4,2,2,2,2,2,2,2,1987,4,1,7,55,32,3.00
20,R,HR Assistance,Clerical support workers,Other clerical support workers,2,1,1,1,-1,1,6,5,5,2,6,4,6,6,6,4,3,#NULL!,5,6,9,9,10,9,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9,8,5,9,9,10,10,#NULL!,#NULL!,#NULL!,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,5,4,4,4,3,0,1,1,1,0,1,1,1,0,5,2,2,4,4,3,3,4,5,4,4,2,1,1,1,2,1,4,2,1974,5,1,2,200,45,3.00
21,R,Cashier,Service and sales workers,Sales workers,2,1,1,1,-1,1,6,6,5,4,6,5,6,5,6,5,3,#NULL!,10,10,10,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,10,7,10,4,5,10,#NULL!,#NULL!,#NULL!,1,1,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,4,4,4,4,4,0,1,1,1,1,0,0,0,0,2,4,2,1,2,4,2,3,5,2,2,2,2,2,2,2,2,2,2,1991,4,1,2,17,28,3.00
22,R,ICT Information Communication Tech Support,Technicians and associate professionals,Information and communications technicians,15,1,1,1,-1,1,6,6,4,4,6,5,6,5,6,4,6,#NULL!,5,8,8,10,7,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,4,7,9,8,4,7,#NULL!,#NULL!,#NULL!,1,1,0,0,0,0,0,0,0,1,1,2,2,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,4,4,4,5,0,0,1,1,1,0,1,1,1,0,5,5,2,5,5,3,4,5,5,3,2,5,2,2,2,2,4,4,1,1979,4,1,15,15,40,3.00
125,R,Event Coordinator,Technicians and associate professionals,Business and administration associate professionals,7,1,1,1,0,1,5,5,5,5,5,5,5,5,5,4,5,#NULL!,5,5,9,9,10,7,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,10,8,10,10,10,10,#NULL!,#NULL!,#NULL!,1,1,0,1,1,0,0,0,0,1,2,1,1,1,2,2,2,1,1,2,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,3,4,4,4,4,1,1,0,0,0,1,0,0,0,5,5,2,5,5,5,3,5,5,2,2,4,2,2,2,2,2,4,2,1986,4,1,7,17,33,4.00
126,R,Technical Support,Technicians and associate professionals,Technical Support,15,1,1,1,0,1,3,5,5,4,3,5,4,5,5,5,5,#NULL!,9,9,9,10,9,9,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,8,7,10,6,6,10,#NULL!,#NULL!,#NULL!,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,2,1,1,1,1,2,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,5,5,5,5,4,0,0,1,1,1,1,1,0,0,5,5,3,5,5,5,4,2,5,2,2,2,2,2,2,2,2,2,1,1978,4,1,1,17,41,4.00
127,R,Library Assistance,Technicians and associate professionals,"Legal, social, cultural and related associate professionals",4,1,1,1,-1,1,5,5,2,1,3,5,3,1,4,3,2,#NULL!,10,10,9,10,8,9,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,8,8,9,7,7,9,#NULL!,#NULL!,#NULL!,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,4,4,4,4,4,1,0,0,1,1,1,1,0,0,4,4,3,4,3,4,3,4,4,4,4,4,2,2,2,2,2,4,2,1986,5,1,8,3,33,3.00
128,R,Librarian,Professionals,"Legal, social and cultural professionals",17,1,1,1,-1,1,5,5,5,5,5,5,4,5,5,5,5,#NULL!,10,10,10,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,10,10,10,9,8,7,#NULL!,#NULL!,#NULL!,1,1,0,0,0,0,0,0,0,1,2,1,1,2,1,1,1,2,1,1,2,2,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,5,5,5,5,4,0,0,0,0,0,1,1,0,0,5,5,2,5,5,5,5,4,5,4,2,4,2,1,1,2,2,3,2,1973,5,1,17,3,46,3.00
129,R,Librarian,Professionals,"Legal, social and cultural professionals",4,1,1,1,-1,1,4,5,5,5,5,5,4,4,5,5,3,#NULL!,5,10,10,10,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,10,10,1,1,1,1,#NULL!,#NULL!,#NULL!,1,1,1,0,0,1,0,0,1,1,2,2,2,2,1,0,2,2,1,2,2,2,2,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,5,5,5,5,4,0,1,1,1,0,0,0,0,0,5,3,2,4,1,3,5,5,3,1,1,3,1,1,1,1,1,1,1,1990,6,1,3,300,29,3.00
169,R,Office Administrator,Technicians and associate professionals,Business and administration associate professionals,5.0,1,1,1,-1,1,5,5,5,5,5,5,5,5,5,5,5,#NULL!,10,10,10,10,9,9,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,7,3,5,9,6,7,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,1,1,2,1,2,1,1,0,1,1,#NULL!,1,#NULL!,1,1,1,#NULL!,1,1,1,1,#NULL!,1,1,5,5,5,5,4,1,#NULL!,1,1,1,#NULL!,1,1,#NULL!,5,5,2,3,2,4,2,2,2,2,2,2,1,1,1,1,3,1,2,1990,4,1,4,7,29,3.00
188,R,Reservations Agent,Clerical support workers,Customer services clerks,7.0,1,1,1,-1,1,2,4,5,2,2,5,1,4,5,3,5,#NULL!,7,7,8,7,10,10,10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,9,10,10,9,9,9,#NULL!,#NULL!,#NULL!,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,2,1,1,1,2,1,1,1,2,2,2,2,1,1,#NULL!,#NULL!,#NULL!,1,1,1,#NULL!,1,1,#NULL!,1,#NULL!,#NULL!,1,3,4,4,4,4,#NULL!,1,#NULL!,1,#NULL!,1,1,#NULL!,#NULL!,4,4,2,3,2,4,4,4,4,4,4,4,3,2,2,2,2,4,2,1986,4,1,3,40,33,3.00
193,R,Reservations Clerk,Clerical support workers,Customer services clerks,5.0,1,1,1,0,1,2,5,5,1,5,3,3,4,5,6,4,#NULL!,8,7,10,7,8,6,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,8,6,3,8,1,10,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,1,1,1,0,0,1,0,0,0,2,0,0,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,5,5,5,5,4,#NULL!,#NULL!,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,4,3,4,4,2,4,4,2,3,2,3,2,1,1,1,1,1,1,2,1977,3,2,5,15,42,4.00
204,R,Supervisor,Technicians and associate professionals,Business and administration associate professionals,15.0,1,1,1,-1,1,2,1,4,2,3,4,1,4,1,2,2,#NULL!,3,4,1,2,4,3,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,5,5,4,4,6,5,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,1,1,2,2,2,0,0,2,2,1,2,0,0,0,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,#NULL!,#NULL!,1,5,4,5,3,3,#NULL!,#NULL!,1,1,#NULL!,#NULL!,1,#NULL!,#NULL!,2,2,4,2,2,2,2,2,2,2,2,4,2,2,2,4,2,4,2,1988,3,4,12,2,31,3.00
205,R,Project Coordinator,Professionals,Business and administration professionals,7.0,1,1,1,0,1,4,5,5,5,4,5,3,5,3,4,3,#NULL!,7,6,10,7,9,9,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,5,5,5,7,7,9,#NULL!,#NULL!,#NULL!,1,1,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,2,1,2,2,2,2,0,1,1,1,2,1,1,2,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,1,1,4,5,4,4,4,#NULL!,1,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,4,4,4,3,4,4,4,4,4,2,4,4,2,2,2,4,4,2,2,1981,4,1,4,8,38,4.00
341,S,Facilitater,Professionals,Teaching Professionals,"1,0",1,1,1,-1,1,4,2,2,3,2,5,2,3,5,2,5,#NULL!,6,5,7,8,5,6,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,3,4,2,5,3,1,#NULL!,#NULL!,#NULL!,1,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,1,1,2,1,2,1,1,2,2,2,1,1,1,1,#NULL!,1,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,1,4,4,4,4,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,3,5,3,2,4,2,2,2,2,1,1,1,1,1,2,1992,4,1,"1,0",50,27,3.00
342,S,Shop assistance,Service and sales workers,Sales workers,"2,0",1,1,1,-1,-1,5,3,4,5,4,4,2,6,3,2,2,#NULL!,6,9,7,8,6,6,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,9,5,6,7,5,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,0,0,2,2,2,2,2,2,2,0,2,2,1,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,1,5,5,5,4,4,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,4,4,5,3,4,4,4,5,4,5,3,4,3,2,2,4,4,3,2,1972,3,1,"2,0",12,47,1.00
